国コード,国名,地域コード,地域名
JP,日本,ASIA,アジア
CN,中国,ASIA,アジア
KR,韓国,ASIA,アジア
IN,インド,ASIA,アジア
TH,タイ,ASIA,アジア
VN,ベトナム,ASIA,アジア
ID,インドネシア,ASIA,アジア
MY,マレーシア,ASIA,アジア
SG,シンガポール,ASIA,アジア
PH,フィリピン,ASIA,アジア
DE,ドイツ,EUROPE,ヨーロッパ
FR,フランス,EUROPE,ヨーロッパ
GB,イギリス,EUROPE,ヨーロッパ
IT,イタリア,EUROPE,ヨーロッパ
ES,スペイン,EUROPE,ヨーロッパ
NL,オランダ,EUROPE,ヨーロッパ
CH,スイス,EUROPE,ヨーロッパ
SE,スウェーデン,EUROPE,ヨーロッパ
NO,ノルウェー,EUROPE,ヨーロッパ
RU,ロシア,EUROPE,ヨーロッパ
EG,エジプト,AFRICA,アフリカ
KE,ケニア,AFRICA,アフリカ
ZA,南アフリカ,AFRICA,アフリカ
MA,モロッコ,AFRICA,アフリカ
NG,ナイジェリア,AFRICA,アフリカ
ET,エチオピア,AFRICA,アフリカ
GH,ガーナ,AFRICA,アフリカ
TZ,タンザニア,AFRICA,アフリカ
DZ,アルジェリア,AFRICA,アフリカ
TN,チュニジア,AFRICA,アフリカ
US,アメリカ,NAMERICA,北アメリカ
CA,カナダ,NAMERICA,北アメリカ
MX,メキシコ,NAMERICA,北アメリカ
CU,キューバ,NAMERICA,北アメリカ
PA,パナマ,NAMERICA,北アメリカ
JM,ジャマイカ,NAMERICA,北アメリカ
CR,コスタリカ,NAMERICA,北アメリカ
GT,グアテマラ,NAMERICA,北アメリカ
BR,ブラジル,SAMERICA,南アメリカ
AR,アルゼンチン,SAMERICA,南アメリカ
CO,コロンビア,SAMERICA,南アメリカ
CL,チリ,SAMERICA,南アメリカ
PE,ペルー,SAMERICA,南アメリカ
VE,ベネズエラ,SAMERICA,南アメリカ
EC,エクアドル,SAMERICA,南アメリカ
BO,ボリビア,SAMERICA,南アメリカ
AU,オーストラリア,OCEANIA,オセアニア
NZ,ニュージーランド,OCEANIA,オセアニア
FJ,フィジー,OCEANIA,オセアニア
PG,パプアニューギニア,OCEANIA,オセアニア
SB,ソロモン諸島,OCEANIA,オセアニア
VU,バヌアツ,OCEANIA,オセアニア
WS,サモア,OCEANIA,オセアニア
